Shape,Total Count,Supported Count,INT8 Fused Total (ms),INT8 Separate Total (ms),INT8 Speedup,INT4 Fused Total (ms),INT4 Separate Total (ms),INT4 Speedup
32x32 | 192->192 | k3x3 s1x1 p1x1,7,7,0.648235,1.362656,2.102103,0.530413,1.180973,2.226514
16x16 | 384->384 | k3x3 s1x1 p1x1,8,8,0.346105,0.723594,2.090681,0.285062,0.625801,2.195315
32x32 | 384->384 | k3x3 s1x1 p1x1,2,2,1.264025,2.647574,2.094558,1.072706,2.333730,2.175554
32x32 | 384->192 | k3x3 s1x1 p1x1,2,2,0.994226,2.287129,2.300411,0.852734,2.022299,2.371548
32x32 | 576->192 | k3x3 s1x1 p1x1,1,1,1.432447,3.306041,2.307967,1.210498,2.899231,2.395074
2x2 | 768->768 | k3x3 s1x1 p1x1,13,13,0.086023,0.223445,2.597503,0.063364,0.196490,3.100979
16x16 | 768->384 | k3x3 s1x1 p1x1,2,2,0.581329,1.252455,2.154469,0.466933,1.072374,2.296632
8x8 | 384->384 | k3x3 s1x1 p1x1,9,9,0.090638,0.217626,2.401031,0.072560,0.204262,2.815075
4x4 | 768->768 | k3x3 s1x1 p1x1,8,8,0.095850,0.233119,2.432133,0.064715,0.215789,3.334438
16x16 | 576->384 | k3x3 s1x1 p1x1,1,1,0.481076,1.004322,2.087657,0.383791,0.858956,2.238079
8x8 | 768->768 | k3x3 s1x1 p1x1,2,2,0.255821,0.453789,1.773856,0.183689,0.358710,1.952819
16x16 | 192->192 | k3x3 s1x1 p1x1,2,2,0.171556,0.369843,2.155813,0.139302,0.314943,2.260858
8x8 | 768->384 | k3x3 s1x1 p1x1,2,2,0.160766,0.337982,2.102324,0.126940,0.287485,2.264735
2x2 | 1536->768 | k3x3 s1x1 p1x1,3,3,0.152829,0.194836,1.274866,0.088016,0.178045,2.022869
8x8 | 1152->384 | k3x3 s1x1 p1x1,1,1,0.229040,0.485517,2.119790,0.178910,0.409839,2.290759
4x4 | 1536->768 | k3x3 s1x1 p1x1,2,2,0.174305,0.238021,1.365545,0.108943,0.171662,1.575704
16x16 | 192->384 | k3x3 s1x1 p1x1,1,1,0.241983,0.464837,1.920951,0.195438,0.394781,2.019984
4x4 | 384->384 | k3x3 s1x1 p1x1,2,2,0.054634,0.187815,3.437695,0.046106,0.164713,3.572506
4x4 | 1152->768 | k3x3 s1x1 p1x1,1,1,0.130014,0.193608,1.489133,0.082065,0.176841,2.154888
4x4 | 384->768 | k3x3 s1x1 p1x1,1,1,0.061319,0.189330,3.087594,0.049791,0.170756,3.429454
