Shape,Total Count,Supported Count,Unsupported Count,INT8 fused step1 (ms),INT8 separate step1 (ms),INT8 step1 speedup,INT8 fused conv (ms),INT8 separate conv (ms),INT8 conv speedup,INT8 fused total (ms),INT8 separate total (ms),INT8 total speedup,INT4 fused step1 (ms),INT4 separate step1 (ms),INT4 step1 speedup,INT4 fused conv (ms),INT4 separate conv (ms),INT4 conv speedup,INT4 fused total (ms),INT4 separate total (ms),INT4 total speedup
32x32 | 192->192 | k3x3 s1x1 p1x1,7,7,0,0.286411,0.907447,3.1683x,0.362524,0.456061,1.2580x,0.648235,1.362656,2.1021x,0.280474,0.834040,2.9737x,0.251141,0.345621,1.3762x,0.530413,1.180973,2.2265x
16x16 | 384->384 | k3x3 s1x1 p1x1,8,8,0,0.147561,0.474622,3.2164x,0.201910,0.250601,1.2412x,0.346105,0.723594,2.0907x,0.144442,0.432113,2.9916x,0.143671,0.191873,1.3355x,0.285062,0.625801,2.1953x
32x32 | 384->384 | k3x3 s1x1 p1x1,2,2,0,0.568574,1.768158,3.1098x,0.697180,0.880432,1.2628x,1.264025,2.647574,2.0946x,0.556772,1.629155,2.9261x,0.518208,0.701902,1.3545x,1.072706,2.333730,2.1756x
32x32 | 384->192 | k3x3 s1x1 p1x1,2,2,0,0.569132,1.767822,3.1062x,0.427435,0.520630,1.2180x,0.994226,2.287129,2.3004x,0.556363,1.629113,2.9281x,0.299144,0.391750,1.3096x,0.852734,2.022299,2.3715x
32x32 | 576->192 | k3x3 s1x1 p1x1,1,1,0,0.850369,2.629147,3.0918x,0.584089,0.677622,1.1601x,1.432447,3.306041,2.3080x,0.832813,2.425671,2.9126x,0.378919,0.473730,1.2502x,1.210498,2.899231,2.3951x
2x2 | 768->768 | k3x3 s1x1 p1x1,13,13,0,0.021663,0.167647,7.7387x,0.077668,0.080052,1.0307x,0.086023,0.223445,2.5975x,0.022182,0.136850,6.1694x,0.044070,0.053901,1.2231x,0.063364,0.196490,3.1010x
16x16 | 768->384 | k3x3 s1x1 p1x1,2,2,0,0.286255,0.907395,3.1699x,0.298210,0.346252,1.1611x,0.581329,1.252455,2.1545x,0.280439,0.833456,2.9720x,0.188876,0.237777,1.2589x,0.466933,1.072374,2.2966x
8x8 | 384->384 | k3x3 s1x1 p1x1,9,9,0,0.034293,0.171987,5.0152x,0.057221,0.065106,1.1378x,0.090638,0.217626,2.4010x,0.032035,0.143978,4.4944x,0.040875,0.052924,1.2948x,0.072560,0.204262,2.8151x
4x4 | 768->768 | k3x3 s1x1 p1x1,8,8,0,0.021509,0.174446,8.1105x,0.080123,0.087136,1.0875x,0.095850,0.233119,2.4321x,0.022885,0.147546,6.4473x,0.045943,0.055137,1.2001x,0.064715,0.215789,3.3344x
16x16 | 576->384 | k3x3 s1x1 p1x1,1,1,0,0.215060,0.689485,3.2060x,0.267148,0.316438,1.1845x,0.481076,1.004322,2.0877x,0.210896,0.633398,3.0034x,0.176127,0.224316,1.2736x,0.383791,0.858956,2.2381x
8x8 | 768->768 | k3x3 s1x1 p1x1,2,2,0,0.072169,0.245943,3.4079x,0.183614,0.208112,1.1334x,0.255821,0.453789,1.7739x,0.070010,0.219487,3.1351x,0.113570,0.139332,1.2268x,0.183689,0.358710,1.9528x
