Shape,Total Count,Supported Count,INT8 Fused Total (ms),INT8 Separate Total (ms),INT8 Speedup,INT4 Fused Total (ms),INT4 Separate Total (ms),INT4 Speedup
32x32 | 192->192 | k3x3 s1x1 p1x1,7,7,0.511929,1.206340,2.356460,0.393260,1.024609,2.605424
16x16 | 384->384 | k3x3 s1x1 p1x1,8,8,0.276743,0.635283,2.295570,0.214588,0.537578,2.505167
32x32 | 384->384 | k3x3 s1x1 p1x1,2,2,0.993799,2.362372,2.377113,0.799194,2.047020,2.561357
32x32 | 384->192 | k3x3 s1x1 p1x1,2,2,0.718581,2.000451,2.783890,0.579947,1.739551,2.999500
32x32 | 576->192 | k3x3 s1x1 p1x1,1,1,1.022278,2.887443,2.824517,0.799502,2.482822,3.105462
16x16 | 768->384 | k3x3 s1x1 p1x1,2,2,0.446673,1.097315,2.456641,0.330514,0.915327,2.769403
2x2 | 768->768 | k3x3 s1x1 p1x1,13,13,0.081506,0.138488,1.699111,0.063246,0.119183,1.884447
8x8 | 384->384 | k3x3 s1x1 p1x1,9,9,0.076401,0.131345,1.719157,0.058653,0.114395,1.950352
4x4 | 768->768 | k3x3 s1x1 p1x1,8,8,0.086236,0.139740,1.620439,0.062117,0.125437,2.019353
16x16 | 576->384 | k3x3 s1x1 p1x1,1,1,0.378624,0.883192,2.332636,0.282590,0.738594,2.613659
8x8 | 768->768 | k3x3 s1x1 p1x1,2,2,0.223134,0.402311,1.803003,0.150059,0.310100,2.066527
16x16 | 192->192 | k3x3 s1x1 p1x1,2,2,0.137495,0.318364,2.315449,0.105878,0.267032,2.522076
8x8 | 768->384 | k3x3 s1x1 p1x1,2,2,0.126637,0.294820,2.328077,0.094013,0.235715,2.507247
2x2 | 1536->768 | k3x3 s1x1 p1x1,3,3,0.146047,0.170924,1.170334,0.081725,0.130769,1.600115
4x4 | 1536->768 | k3x3 s1x1 p1x1,2,2,0.159386,0.211521,1.327098,0.093019,0.138773,1.491887
8x8 | 1152->384 | k3x3 s1x1 p1x1,1,1,0.176501,0.417263,2.364085,0.127147,0.340358,2.676896
16x16 | 192->384 | k3x3 s1x1 p1x1,1,1,0.208618,0.412727,1.978385,0.161623,0.346076,2.141250
4x4 | 384->384 | k3x3 s1x1 p1x1,2,2,0.053569,0.118422,2.210671,0.046971,0.096355,2.051380
4x4 | 1152->768 | k3x3 s1x1 p1x1,1,1,0.120618,0.163769,1.357744,0.072237,0.106799,1.478456
4x4 | 384->768 | k3x3 s1x1 p1x1,1,1,0.053691,0.117129,2.181554,0.047366,0.098988,2.089830
