Shape,Total Count,Supported Count,Unsupported Count,INT8 fused step1 (ms),INT8 separate step1 (ms),INT8 step1 speedup,INT8 fused conv (ms),INT8 separate conv (ms),INT8 conv speedup,INT8 fused total (ms),INT8 separate total (ms),INT8 total speedup,INT4 fused step1 (ms),INT4 separate step1 (ms),INT4 step1 speedup,INT4 fused conv (ms),INT4 separate conv (ms),INT4 conv speedup,INT4 fused total (ms),INT4 separate total (ms),INT4 total speedup
32x32 | 192->192 | k3x3 s1x1 p1x1,7,7,0,0.149656,0.752087,5.0254x,0.363262,0.456410,1.2564x,0.511929,1.206340,2.3565x,0.143952,0.682927,4.7441x,0.251203,0.345119,1.3739x,0.393260,1.024609,2.6054x
16x16 | 384->384 | k3x3 s1x1 p1x1,8,8,0,0.077592,0.385941,4.9740x,0.202395,0.251232,1.2413x,0.276743,0.635283,2.2956x,0.074644,0.348978,4.6752x,0.143556,0.191403,1.3333x,0.214588,0.537578,2.5052x
32x32 | 384->384 | k3x3 s1x1 p1x1,2,2,0,0.294488,1.482219,5.0332x,0.696743,0.883854,1.2686x,0.993799,2.362372,2.3771x,0.282895,1.347789,4.7643x,0.517514,0.701598,1.3557x,0.799194,2.047020,2.5614x
32x32 | 384->192 | k3x3 s1x1 p1x1,2,2,0,0.294556,1.481908,5.0310x,0.427000,0.520554,1.2191x,0.718581,2.000451,2.7839x,0.283013,1.347404,4.7609x,0.299013,0.393356,1.3155x,0.579947,1.739551,2.9995x
32x32 | 576->192 | k3x3 s1x1 p1x1,1,1,0,0.439708,2.211750,5.0300x,0.584569,0.677924,1.1597x,1.022278,2.887443,2.8245x,0.422725,2.011186,4.7577x,0.379523,0.472430,1.2448x,0.799502,2.482822,3.1055x
16x16 | 768->384 | k3x3 s1x1 p1x1,2,2,0,0.149517,0.751994,5.0295x,0.299445,0.347877,1.1617x,0.446673,1.097315,2.4566x,0.144014,0.682594,4.7398x,0.189787,0.237998,1.2540x,0.330514,0.915327,2.7694x
2x2 | 768->768 | k3x3 s1x1 p1x1,13,13,0,0.022333,0.092155,4.1264x,0.077745,0.080082,1.0301x,0.081506,0.138488,1.6991x,0.021506,0.081071,3.7698x,0.044214,0.054110,1.2238x,0.063246,0.119183,1.8844x
8x8 | 384->384 | k3x3 s1x1 p1x1,9,9,0,0.023140,0.092058,3.9783x,0.057548,0.065324,1.1351x,0.076401,0.131345,1.7192x,0.021967,0.082711,3.7653x,0.040741,0.052742,1.2946x,0.058653,0.114395,1.9504x
4x4 | 768->768 | k3x3 s1x1 p1x1,8,8,0,0.021588,0.092083,4.2654x,0.080049,0.087057,1.0875x,0.086236,0.139740,1.6204x,0.021982,0.080622,3.6676x,0.046018,0.054162,1.1770x,0.062117,0.125437,2.0194x
16x16 | 576->384 | k3x3 s1x1 p1x1,1,1,0,0.113446,0.568091,5.0076x,0.267657,0.317440,1.1860x,0.378624,0.883192,2.3326x,0.108940,0.515198,4.7292x,0.176918,0.225802,1.2763x,0.282590,0.738594,2.6137x
8x8 | 768->768 | k3x3 s1x1 p1x1,2,2,0,0.040375,0.194717,4.8227x,0.184031,0.209180,1.1367x,0.223134,0.402311,1.8030x,0.043184,0.174367,4.0378x,0.114646,0.138848,1.2111x,0.150059,0.310100,2.0665x
16x16 | 192->192 | k3x3 s1x1 p1x1,2,2,0,0.040277,0.194335,4.8250x,0.100047,0.125483,1.2542x,0.137495,0.318364,2.3154x,0.038884,0.174263,4.4816x,0.068891,0.095267,1.3829x,0.105878,0.267032,2.5221x
8x8 | 768->384 | k3x3 s1x1 p1x1,2,2,0,0.040356,0.194697,4.8244x,0.087778,0.093797,1.0686x,0.126637,0.294820,2.3281x,0.038835,0.174855,4.5026x,0.056504,0.064028,1.1332x,0.094013,0.235715,2.5072x
2x2 | 1536->768 | k3x3 s1x1 p1x1,3,3,0,0.021859,0.091055,4.1655x,0.142055,0.145549,1.0246x,0.146047,0.170924,1.1703x,0.021966,0.082010,3.7334x,0.076834,0.079932,1.0403x,0.081725,0.130769,1.6001x
4x4 | 1536->768 | k3x3 s1x1 p1x1,2,2,0,0.020349,0.081921,4.0258x,0.144543,0.150596,1.0419x,0.159386,0.211521,1.3271x,0.018806,0.072996,3.8815x,0.078814,0.085165,1.0806x,0.093019,0.138773,1.4919x
8x8 | 1152->384 | k3x3 s1x1 p1x1,1,1,0,0.059377,0.293059,4.9356x,0.119810,0.126708,1.0576x,0.176501,0.417263,2.3641x,0.057408,0.264039,4.5993x,0.072473,0.079324,1.0945x,0.127147,0.340358,2.6769x
16x16 | 192->384 | k3x3 s1x1 p1x1,1,1,0,0.040443,0.194765,4.8158x,0.170963,0.218982,1.2809x,0.208618,0.412727,1.9784x,0.038804,0.174653,4.5009x,0.124959,0.173717,1.3902x,0.161623,0.346076,2.1413x
4x4 | 384->384 | k3x3 s1x1 p1x1,2,2,0,0.018922,0.077340,4.0873x,0.045342,0.048209,1.0632x,0.053569,0.118422,2.2107x,0.018244,0.069735,3.8223x,0.034369,0.039614,1.1526x,0.046971,0.096355,2.0514x
4x4 | 1152->768 | k3x3 s1x1 p1x1,1,1,0,0.018965,0.079005,4.1657x,0.112078,0.118426,1.0566x,0.120618,0.163769,1.3577x,0.018244,0.071509,3.9196x,0.062460,0.068183,1.0916x,0.072237,0.106799,1.4785x
4x4 | 384->768 | k3x3 s1x1 p1x1,1,1,0,0.019111,0.078586,4.1121x,0.046454,0.053902,1.1603x,0.053691,0.117129,2.1816x,0.018654,0.069864,3.7453x,0.033148,0.042045,1.2684x,0.047366,0.098988,2.0898x
2x2 | 1536->768 | k1x1 s1x1 p0x0,3,0,3,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported
32x32 | 384->192 | k1x1 s1x1 p0x0,2,0,2,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported
16x16 | 768->384 | k1x1 s1x1 p0x0,2,0,2,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported
8x8 | 768->384 | k1x1 s1x1 p0x0,2,0,2,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported
4x4 | 1536->768 | k1x1 s1x1 p0x0,2,0,2,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported
32x32 | 576->192 | k1x1 s1x1 p0x0,1,0,1,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported
32x32 | 192->4 | k3x3 s1x1 p1x1,1,0,1,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported
32x32 | 4->192 | k3x3 s1x1 p1x1,1,0,1,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported
16x16 | 576->384 | k1x1 s1x1 p0x0,1,0,1,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported
16x16 | 192->384 | k1x1 s1x1 p0x0,1,0,1,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported
8x8 | 1152->384 | k1x1 s1x1 p0x0,1,0,1,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported
4x4 | 1152->768 | k1x1 s1x1 p0x0,1,0,1,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported,skipped_unsupported
