Shape,Raw INT8,Raw INT4,Raw INT4/INT8,Baseline dynamic INT8,Baseline dynamic INT4,Baseline dynamic INT4/INT8,Baseline static INT8,Baseline static INT4,Baseline static INT4/INT8,MoDiff static INT8,MoDiff static INT4,MoDiff static INT4/INT8,MoDiff dynamic INT8,MoDiff dynamic INT4,MoDiff dynamic INT4/INT8
16x16 | 384->384 | k3x3,6.33x,10.71x,1.69x,3.06x,3.89x,1.27x,4.07x,5.69x,1.40x,3.04x,3.80x,1.25x,2.39x,2.88x,1.20x
32x32 | 192->192 | k3x3,4.25x,8.07x,1.90x,1.91x,2.45x,1.28x,2.60x,3.72x,1.43x,1.89x,2.43x,1.29x,1.49x,1.80x,1.21x
4x4 | 768->768 | k3x3,10.53x,19.70x,1.87x,7.94x,11.32x,1.43x,9.52x,13.49x,1.42x,8.12x,12.60x,1.55x,7.51x,10.62x,1.41x
2x2 | 768->768 | k3x3,6.59x,12.12x,1.84x,5.28x,8.83x,1.67x,5.89x,10.34x,1.76x,5.23x,7.85x,1.50x,4.72x,6.89x,1.46x
32x32 | 384->384 | k3x3,7.04x,12.31x,1.75x,3.29x,4.08x,1.24x,4.45x,6.13x,1.38x,3.26x,4.05x,1.24x,2.56x,3.02x,1.18x
8x8 | 384->384 | k3x3,8.59x,14.07x,1.64x,4.53x,5.63x,1.24x,6.20x,8.25x,1.33x,4.71x,5.93x,1.26x,3.69x,4.73x,1.28x
32x32 | 384->192 | k3x3,5.69x,10.09x,1.77x,2.28x,2.78x,1.22x,3.54x,4.93x,1.39x,2.40x,2.97x,1.24x,1.74x,2.02x,1.16x
4x4 | 1536->768 | k3x3,11.82x,21.74x,1.84x,9.38x,14.54x,1.55x,10.69x,17.95x,1.68x,9.92x,15.89x,1.60x,8.69x,12.85x,1.48x
16x16 | 768->384 | k3x3,6.80x,12.74x,1.87x,3.42x,4.51x,1.32x,4.79x,7.23x,1.51x,3.55x,4.72x,1.33x,2.72x,3.36x,1.24x
8x8 | 768->768 | k3x3,10.12x,17.88x,1.77x,6.77x,9.93x,1.47x,7.94x,12.68x,1.60x,6.63x,9.42x,1.42x,5.73x,7.69x,1.34x
2x2 | 1536->768 | k3x3,7.11x,13.27x,1.87x,6.04x,9.91x,1.64x,6.62x,12.31x,1.86x,6.19x,10.69x,1.73x,5.98x,9.73x,1.63x
32x32 | 576->192 | k3x3,5.36x,9.81x,1.83x,2.28x,2.84x,1.25x,3.57x,5.21x,1.46x,2.45x,3.12x,1.28x,1.75x,2.07x,1.18x
8x8 | 768->384 | k3x3,9.46x,16.85x,1.78x,5.37x,7.06x,1.32x,7.18x,10.53x,1.47x,5.52x,7.17x,1.30x,4.31x,5.28x,1.22x
4x4 | 1152->768 | k3x3,11.30x,20.00x,1.77x,8.70x,13.40x,1.54x,10.23x,16.49x,1.61x,9.27x,14.34x,1.55x,8.18x,12.35x,1.51x
16x16 | 576->384 | k3x3,6.07x,10.92x,1.80x,3.14x,4.14x,1.32x,4.24x,6.25x,1.48x,3.18x,4.17x,1.31x,2.51x,3.09x,1.23x
8x8 | 1152->384 | k3x3,9.95x,18.20x,1.83x,5.72x,7.54x,1.32x,7.84x,11.72x,1.49x,5.88x,8.02x,1.36x,4.63x,5.64x,1.22x
4x4 | 384->384 | k3x3,6.24x,10.26x,1.64x,4.71x,6.13x,1.30x,5.65x,7.58x,1.34x,4.19x,5.63x,1.34x,3.78x,4.88x,1.29x
16x16 | 192->192 | k3x3,3.72x,6.52x,1.75x,1.90x,2.34x,1.23x,2.44x,3.40x,1.39x,1.72x,2.19x,1.27x,1.40x,1.68x,1.21x
16x16 | 192->384 | k3x3,4.62x,8.01x,1.74x,2.42x,3.21x,1.33x,3.01x,4.17x,1.38x,2.28x,2.81x,1.23x,1.90x,2.32x,1.22x
4x4 | 384->768 | k3x3,9.53x,15.64x,1.64x,6.20x,7.74x,1.25x,8.31x,11.55x,1.39x,6.39x,8.52x,1.33x,5.61x,7.24x,1.29x
