config,repeat,ms_per_step
fp16,1,0.82
fp16,2,0.82
fp16,3,0.82
fp16,4,0.82
fp16,5,0.82
int8_baseline,1,0.58
int8_baseline,2,0.58
int8_baseline,3,0.58
int8_baseline,4,0.58
int8_baseline,5,0.58
int8,1,0.66
int8,2,0.67
int8,3,0.67
int8,4,0.66
int8,5,0.66
int4_baseline,1,0.53
int4_baseline,2,0.54
int4_baseline,3,0.53
int4_baseline,4,0.56
int4_baseline,5,0.55
int4,1,0.66
int4,2,0.64
int4,3,0.63
int4,4,0.67
int4,5,0.64
fp32,1,2.35
fp32,2,2.35
fp32,3,2.35
fp32,4,2.35
fp32,5,2.35
int8_skipk_K2,1,0.67
int8_skipk_K2,2,0.67
int8_skipk_K2,3,0.66
int8_skipk_K2,4,0.66
int8_skipk_K2,5,0.66
int8_skipk_K3,1,0.67
int8_skipk_K3,2,0.67
int8_skipk_K3,3,0.67
int8_skipk_K3,4,0.67
int8_skipk_K3,5,0.67
ALL DONE
