version,bucket,ms_step
fp16,other,0.4823
fp16,elementwise / copy,12.9556
fp16,conv store epilogue,2.9105
fp16,qkv/proj GEMM (+ fp16 attn bmm),23.6539
fp16,conv (GEMM),22.4027
fp16,GroupNorm,10.0285
fp16,attention (softmax/flash),20.9912
fp16,upsample / concat,1.906
int8_baseline,other,1.5776
int8_baseline,elementwise / copy,10.7123
int8_baseline,conv store epilogue,2.6382
int8_baseline,qkv/proj GEMM (+ fp16 attn bmm),4.9232
int8_baseline,conv (GEMM),12.3097
int8_baseline,GroupNorm,11.0285
int8_baseline,quantize / absmax,7.7958
int8_baseline,attention (softmax/flash),46.3382
int8_baseline,upsample / concat,2.3328
int8_modiff,other,5.7318
int8_modiff,elementwise / copy,12.6171
int8_modiff,quantize / absmax,12.707
int8_modiff,conv store epilogue,2.0425
int8_modiff,qkv/proj GEMM (+ fp16 attn bmm),4.9059
int8_modiff,conv (GEMM),15.0196
int8_modiff,GroupNorm,11.1068
int8_modiff,attention (softmax/flash),46.3643
int8_modiff,upsample / concat,1.8823
int4_baseline,other,0.4463
int4_baseline,elementwise / copy,13.1826
int4_baseline,conv store epilogue,4.7305
int4_baseline,qkv/proj GEMM (+ fp16 attn bmm),4.712
int4_baseline,conv (GEMM),8.5043
int4_baseline,GroupNorm,10.7242
int4_baseline,quantize / absmax,8.9431
int4_baseline,attention (softmax/flash),46.3536
int4_baseline,upsample / concat,2.3368
int4_modiff,other,4.6054
int4_modiff,elementwise / copy,15.5303
int4_modiff,quantize / absmax,13.2811
int4_modiff,conv store epilogue,2.0385
int4_modiff,qkv/proj GEMM (+ fp16 attn bmm),4.6836
int4_modiff,conv (GEMM),8.5933
int4_modiff,GroupNorm,11.1001
int4_modiff,attention (softmax/flash),46.3711
int4_modiff,upsample / concat,1.8844
