version,bucket,ms_step
fp16,other,0.4797
fp16,elementwise / copy,12.9352
fp16,conv store epilogue,2.9094
fp16,qkv/proj GEMM (+ fp16 attn bmm),23.6635
fp16,conv (GEMM),22.2767
fp16,GroupNorm,9.9833
fp16,attention (softmax/flash),20.9975
fp16,upsample / concat,1.9004
int8_baseline,other,1.5905
int8_baseline,elementwise / copy,13.8272
int8_baseline,conv store epilogue,2.6449
int8_baseline,qkv/proj GEMM (+ fp16 attn bmm),24.8092
int8_baseline,conv (GEMM),12.4884
int8_baseline,GroupNorm,11.1509
int8_baseline,attention (softmax/flash),20.9427
int8_baseline,quantize / absmax,0.3647
int8_baseline,upsample / concat,2.3488
int8_modiff,other,5.7303
int8_modiff,elementwise / copy,15.7064
int8_modiff,quantize / absmax,5.2813
int8_modiff,conv store epilogue,2.0422
int8_modiff,qkv/proj GEMM (+ fp16 attn bmm),24.7784
int8_modiff,conv (GEMM),15.1267
int8_modiff,GroupNorm,11.161
int8_modiff,attention (softmax/flash),21.0278
int8_modiff,upsample / concat,1.8929
int4_baseline,other,0.4497
int4_baseline,elementwise / copy,16.2819
int4_baseline,conv store epilogue,4.7366
int4_baseline,qkv/proj GEMM (+ fp16 attn bmm),24.5787
int4_baseline,conv (GEMM),8.5611
int4_baseline,GroupNorm,10.8066
int4_baseline,quantize / absmax,1.5136
int4_baseline,attention (softmax/flash),20.9454
int4_baseline,upsample / concat,2.3452
int4_modiff,other,4.6102
int4_modiff,elementwise / copy,18.6081
int4_modiff,quantize / absmax,5.8409
int4_modiff,conv store epilogue,2.039
int4_modiff,qkv/proj GEMM (+ fp16 attn bmm),24.5466
int4_modiff,conv (GEMM),8.5903
int4_modiff,GroupNorm,11.0948
int4_modiff,attention (softmax/flash),20.9422
int4_modiff,upsample / concat,1.8861
