version,bucket,ms_step
fp16,other,0.4805
fp16,elementwise / copy,12.9343
fp16,conv store epilogue,2.9121
fp16,qkv/proj GEMM (+ fp16 attn bmm),23.6496
fp16,conv (GEMM),22.2889
fp16,GroupNorm,9.9901
fp16,attention (int QKᵀ/softmax/AV),21.0462
fp16,upsample / concat,1.8998
int8_baseline,other,1.7399
int8_baseline,elementwise / copy,12.8796
int8_baseline,conv store epilogue,2.644
int8_baseline,qkv/proj GEMM (+ fp16 attn bmm),26.883
int8_baseline,conv (GEMM),12.3651
int8_baseline,GroupNorm,11.0277
int8_baseline,quantize / absmax,6.4372
int8_baseline,attention (int QKᵀ/softmax/AV),16.1537
int8_baseline,upsample / concat,2.3337
int8_modiff,other,5.8946
int8_modiff,elementwise / copy,14.7958
int8_modiff,quantize / absmax,11.3522
int8_modiff,conv store epilogue,2.0431
int8_modiff,qkv/proj GEMM (+ fp16 attn bmm),26.8771
int8_modiff,conv (GEMM),15.013
int8_modiff,GroupNorm,11.0916
int8_modiff,attention (int QKᵀ/softmax/AV),16.1475
int8_modiff,upsample / concat,1.883
int4_baseline,other,0.4468
int4_baseline,elementwise / copy,14.4808
int4_baseline,conv store epilogue,4.733
int4_baseline,qkv/proj GEMM (+ fp16 attn bmm),22.9736
int4_baseline,conv (GEMM),8.5128
int4_baseline,GroupNorm,10.7276
int4_baseline,quantize / absmax,7.2748
int4_baseline,attention (int QKᵀ/softmax/AV),13.6262
int4_baseline,upsample / concat,2.3358
int4_modiff,other,4.6072
int4_modiff,elementwise / copy,16.8562
int4_modiff,quantize / absmax,11.614
int4_modiff,conv store epilogue,2.0425
int4_modiff,qkv/proj GEMM (+ fp16 attn bmm),22.943
int4_modiff,conv (GEMM),8.5992
int4_modiff,GroupNorm,11.0882
int4_modiff,attention (int QKᵀ/softmax/AV),13.624
int4_modiff,upsample / concat,1.8857
