version,bucket,ms_step
fp16,other,0.4821
fp16,elementwise / copy,12.9519
fp16,conv store epilogue,2.9108
fp16,qkv/proj GEMM (+ fp16 attn bmm),23.6993
fp16,conv (GEMM),22.3067
fp16,GroupNorm,10.0159
fp16,attention (int QKᵀ/softmax/AV),21.0489
fp16,upsample / concat,1.9009
int8_baseline,other,1.7394
int8_baseline,elementwise / copy,12.8695
int8_baseline,conv store epilogue,2.6324
int8_baseline,qkv/proj GEMM (+ fp16 attn bmm),26.9011
int8_baseline,conv (GEMM),12.3326
int8_baseline,GroupNorm,11.0227
int8_baseline,quantize / absmax,8.5296
int8_baseline,attention (int QKᵀ/softmax/AV),22.328
int8_baseline,upsample / concat,2.3347
int8_modiff,other,5.8934
int8_modiff,elementwise / copy,14.7777
int8_modiff,quantize / absmax,13.4435
int8_modiff,conv store epilogue,2.0453
int8_modiff,qkv/proj GEMM (+ fp16 attn bmm),26.9009
int8_modiff,conv (GEMM),14.9692
int8_modiff,GroupNorm,11.0823
int8_modiff,attention (int QKᵀ/softmax/AV),22.3425
int8_modiff,upsample / concat,1.8829
int4_baseline,other,0.4473
int4_baseline,elementwise / copy,14.468
int4_baseline,conv store epilogue,4.7258
int4_baseline,qkv/proj GEMM (+ fp16 attn bmm),23.0227
int4_baseline,conv (GEMM),8.4708
int4_baseline,GroupNorm,10.7304
int4_baseline,quantize / absmax,9.454
int4_baseline,attention (int QKᵀ/softmax/AV),22.3625
int4_baseline,upsample / concat,2.3363
int4_modiff,other,4.6099
int4_modiff,elementwise / copy,16.8254
int4_modiff,quantize / absmax,13.7849
int4_modiff,conv store epilogue,2.0422
int4_modiff,qkv/proj GEMM (+ fp16 attn bmm),23.0099
int4_modiff,conv (GEMM),8.5446
int4_modiff,GroupNorm,11.0854
int4_modiff,attention (int QKᵀ/softmax/AV),22.3649
int4_modiff,upsample / concat,1.8855
