shape,Cin,Cout,H,W,freq,precision,gn_base,gn_modiff,conv_base,conv_modiff,a_hat_ms,o_hat_ms,modiff_total_ms,base_total_ms,a_hat_pct,o_hat_pct,block_ratio
"768->768,2x2",768,768,2,2,12,W8A8,0.012250199727714062,0.021381400153040887,0.0714471995830536,0.07307259887456893,0.009131200425326825,0.0016253992915153392,0.09445399902760981,0.08369739931076765,9.667351853104375,1.7208369240567776,1.1285177294088076
"768->768,2x2",768,768,2,2,12,W4A4,0.012795799877494574,0.018977199867367744,0.03755680024623871,0.03988800011575222,0.00618139998987317,0.002331199869513509,0.05886519998311997,0.050352600123733285,10.500941119108967,3.9602343492963548,1.1690597871503827
"384->384,8x8",384,384,8,8,8,W8A8,0.03196600005030632,0.07620740085840225,0.11714179813861847,0.12739560157060623,0.044241400808095924,0.010253803431987757,0.20360300242900847,0.14910779818892478,21.7292477420719,5.036174962873161,1.3654752125776572
"384->384,8x8",384,384,8,8,8,W4A4,0.03231219984591007,0.07292239889502525,0.061563800647854806,0.06572239995002746,0.04061019904911518,0.004158599302172654,0.1386447988450527,0.09387600049376488,29.290820418370338,2.999462898583192,1.4768929025077215
"192->192,32x32",192,192,32,32,7,W8A8,0.3029174000024796,0.42721299827098846,0.7039388060569763,0.7220853984355926,0.12429559826850889,0.018146592378616266,1.149298396706581,1.006856206059456,10.814910959998658,1.5789278424660622,1.141472227900946
"192->192,32x32",192,192,32,32,7,W4A4,0.28190799951553347,0.4088119983673096,0.3250458002090454,0.3398427993059158,0.1269039988517761,0.014796999096870433,0.7486547976732254,0.6069537997245789,16.950936432409996,1.9764782304018658,1.2334625765798766
"384->384,16x16",384,384,16,16,7,W8A8,0.11561959907412529,0.2269758015871048,0.3975153982639313,0.41903160214424134,0.1113562025129795,0.02151620388031006,0.6460074037313461,0.5131349973380566,17.23760468839595,3.330643543097528,1.2589423973858334
"384->384,16x16",384,384,16,16,7,W4A4,0.11830880045890808,0.21736759841442108,0.2110047996044159,0.22046899944543838,0.09905879795551299,0.00946419984102248,0.43783659785985946,0.329313600063324,22.624604347766116,2.1615826286069706,1.3295430184956452
"768->768,4x4",768,768,4,4,7,W8A8,0.019656400196254253,0.05038439966738224,0.14143739640712738,0.14623979926109315,0.03072799947112799,0.00480240285396577,0.19662419892847538,0.16109379660338163,15.627781137104952,2.4424271682412333,1.2205572348174945
"768->768,4x4",768,768,4,4,7,W4A4,0.020360000245273114,0.04904840029776096,0.07203340008854867,0.07455580085515975,0.028688400052487847,0.002522400766611088,0.12360420115292071,0.09239340033382178,23.209890752010214,2.0407079557841428,1.3378033572347465
