shape,Cin,Cout,H,W,freq,precision,gn_base,gn_modiff,conv_base,conv_modiff,a_hat_ms,o_hat_ms,modiff_total_ms,base_total_ms,a_hat_pct,o_hat_pct,block_ratio
"768->768,2x2",768,768,2,2,12,W8A8,0.012074650079011918,0.023527300357818602,0.071401447057724,0.07290549874305725,0.011452650278806684,0.0015040516853332547,0.09643279910087585,0.08347609713673591,11.876301824264548,1.5596889226039217,1.1552145153949465
"768->768,2x2",768,768,2,2,12,W4A4,0.012591449916362763,0.01960040032863617,0.03738904893398285,0.03978709876537323,0.007008950412273408,0.0023980498313903795,0.0593874990940094,0.04998049885034561,11.802063597893488,4.037970731170725,1.1882134124317316
"384->384,8x8",384,384,8,8,8,W8A8,0.03184494972229004,0.07541984915733338,0.12273224592208862,0.13215705156326293,0.04357489943504334,0.009424805641174316,0.2075769007205963,0.15457719564437866,20.992171712639763,4.54039231169577,1.342868848508218
"384->384,8x8",384,384,8,8,8,W4A4,0.03277699947357178,0.07378609776496887,0.0632332980632782,0.06747959852218628,0.041009098291397095,0.004246300458908087,0.14126569628715516,0.09601029753684998,29.029764032760387,3.0058963856848164,1.4713598427599455
"192->192,32x32",192,192,32,32,7,W8A8,0.30187549591064455,0.4278541088104248,0.7318706035614013,0.77127103805542,0.12597861289978024,0.039400434494018644,1.1991251468658448,1.033746099472046,10.50587699115899,3.285765009348659,1.159980335092206
"192->192,32x32",192,192,32,32,7,W4A4,0.27840049266815187,0.4119825839996338,0.34547650814056396,0.3574245452880859,0.1335820913314819,0.011948037147521962,0.7694071292877197,0.6238770008087158,17.36169139154531,1.5528888013531772,1.2332673400211212
"384->384,16x16",384,384,16,16,7,W8A8,0.11686409711837768,0.2301786422729492,0.42763233184814453,0.4509086608886719,0.11331454515457152,0.023276329040527344,0.6810873031616211,0.5444964289665222,16.63730106677413,3.4175250268912882,1.2508572452060969
"384->384,16x16",384,384,16,16,7,W4A4,0.11941405534744262,0.2225714921951294,0.22312915325164795,0.2313988447189331,0.10315743684768677,0.00826969146728515,0.4539703369140625,0.3425432085990906,22.723387071700827,1.8216369649831592,1.325293643306136
"768->768,4x4",768,768,4,4,7,W8A8,0.019038000702857973,0.04934070110321045,0.1453410029411316,0.14955315589904786,0.030302700400352475,0.004212152957916271,0.1988938570022583,0.16437900364398955,15.235614039104489,2.117789368360655,1.209971179975155
"768->768,4x4",768,768,4,4,7,W4A4,0.0198341503739357,0.048493650555610654,0.07342004776000977,0.07597219944000244,0.028659500181674954,0.0025521516799926758,0.1244658499956131,0.09325419813394546,23.025994827243842,2.050483470030236,1.334694335335304
"1536->768,2x2",1536,768,2,2,3,W8A8,0.012825949490070343,0.028623399138450623,0.1358455538749695,0.13709230422973634,0.015797449648380278,0.0012467503547668457,0.16571570336818697,0.14867150336503984,9.532862201526864,0.7523429158652618,1.1146433554337427
"1536->768,2x2",1536,768,2,2,3,W4A4,0.01353130042552948,0.028307649493217468,0.06990820169448853,0.07254779934883118,0.014776349067687988,0.002639597654342657,0.10085544884204865,0.08343950212001801,14.651017111459657,2.617208772206818,1.208725439144877
"1536->768,4x4",1536,768,4,4,2,W8A8,0.031024348735809327,0.09435895085334778,0.2801564931869507,0.28363823890686035,0.06333460211753845,0.003481745719909668,0.37799718976020813,0.31118084192276,16.755310312681512,0.9211035992406186,1.2147187064107017
"1536->768,4x4",1536,768,4,4,2,W4A4,0.03125594854354859,0.09289360046386719,0.1408555507659912,0.1432286500930786,0.0616376519203186,0.0023730993270874023,0.2361222505569458,0.17211149930953978,26.10412689822021,1.0050299459241687,1.3719144363055238
