kind,K,N,M,count,fp16_us,i8_gemm_us,i8_full_us,i4_gemm_us,i4_full_us,i8_gemm_vs_fp16,i4_gemm_vs_fp16
qkv,192,576,131072,5,476.2,425.2,562.6,368.5,794.2,1.12,1.292
proj,192,192,131072,5,192.7,166.2,302.9,144.3,583.0,1.16,1.336
qkv,384,1152,32768,5,435.9,281.3,349.5,203.2,259.1,1.549,2.145
proj,384,384,32768,5,137.2,110.4,181.5,83.2,140.1,1.243,1.649
qkv,384,1152,8192,5,96.4,83.8,104.6,62.8,79.5,1.15,1.535
proj,384,384,8192,5,58.9,37.6,57.6,30.3,47.2,1.567,1.945
qkv,768,2304,2048,5,86.5,66.8,77.3,44.4,52.8,1.294,1.947
proj,768,768,2048,5,27.4,29.9,38.9,17.7,27.0,0.915,1.546
qkv,768,2304,512,1,22.3,22.6,24.5,13.8,16.8,0.989,1.619
proj,768,768,512,1,21.6,21.1,24.2,13.5,16.5,1.023,1.6
WEIGHTED_TOTAL,,,,,7599.9,6049.7,8423.2,4799.3,9947.8,1.256,1.584
