C,nh,hd,T,batch,BH,count,path,kernel_us,quant_us,total_us,vs_real,relL2
192,8,24,1024,128,1024,5,fp16 flash (real),1857.5,0.0,1857.5,1.0,
192,8,24,1024,128,1024,5,fp16 MATH (old),16212.4,0.0,16212.4,0.115,
192,8,24,1024,128,1024,5,int8 flash (ours),7521.2,5608.1,13129.3,0.141,0.0244
192,8,24,1024,128,1024,5,int4 flash (ours),13147.7,12064.3,25212.0,0.074,0.1445
384,8,48,256,128,1024,5,fp16 flash (real),220.1,0.0,220.1,1.0,
384,8,48,256,128,1024,5,fp16 MATH (old),1356.5,0.0,1356.5,0.162,
384,8,48,256,128,1024,5,int8 flash (ours),2009.7,2827.4,4837.1,0.046,0.0178
384,8,48,256,128,1024,5,int4 flash (ours),2352.3,4426.4,6778.7,0.032,0.1507
384,8,48,256,128,1024,5,int8 materialized,2433.6,899.5,3333.0,0.066,0.0203
384,8,48,64,128,1024,5,fp16 flash (real),65.3,0.0,65.3,1.0,
384,8,48,64,128,1024,5,fp16 MATH (old),156.3,0.0,156.3,0.418,
384,8,48,64,128,1024,5,int8 flash (ours),197.8,754.5,952.3,0.069,0.0138
384,8,48,64,128,1024,5,int4 flash (ours),182.4,1174.5,1356.9,0.048,0.1414
384,8,48,64,128,1024,5,int8 materialized,519.1,421.1,940.2,0.069,0.0146
768,8,96,16,128,1024,5,fp16 flash (real),42.2,0.0,42.2,1.0,
768,8,96,16,128,1024,5,fp16 MATH (old),67.3,0.0,67.3,0.627,
768,8,96,4,128,1024,1,fp16 flash (real),39.0,0.0,39.0,1.0,
768,8,96,4,128,1024,1,fp16 MATH (old),66.0,0.0,66.0,0.59,
