kind,hd_or_K,M,count,path,us,vs_real,relL2
qkv,192->576,131072,5,fp16 (real),434.1,1.0,
qkv,192->576,131072,5,int8 AWQ GEMM,472.8,0.918,0.0131
qkv,192->576,131072,5,int4 AWQ GEMM,763.3,0.569,0.2387
proj,192->192,131072,5,fp16 (real),192.5,1.0,
proj,192->192,131072,5,int8 AWQ GEMM,287.1,0.671,0.0127
proj,192->192,131072,5,int4 AWQ GEMM,573.5,0.336,0.2309
qkv,384->1152,32768,5,fp16 (real),427.3,1.0,
qkv,384->1152,32768,5,int8 AWQ GEMM,300.8,1.421,0.013
qkv,384->1152,32768,5,int4 AWQ GEMM,216.5,1.973,0.2373
proj,384->384,32768,5,fp16 (real),135.1,1.0,
proj,384->384,32768,5,int8 AWQ GEMM,160.6,0.841,0.0135
proj,384->384,32768,5,int4 AWQ GEMM,121.5,1.111,0.2452
qkv,384->1152,8192,5,fp16 (real),89.7,1.0,
qkv,384->1152,8192,5,int8 AWQ GEMM,89.3,1.005,0.0123
qkv,384->1152,8192,5,int4 AWQ GEMM,63.3,1.416,0.2246
proj,384->384,8192,5,fp16 (real),58.9,1.0,
proj,384->384,8192,5,int8 AWQ GEMM,52.5,1.122,0.0123
proj,384->384,8192,5,int4 AWQ GEMM,38.8,1.519,0.2237
qkv,768->2304,2048,5,fp16 (real),80.0,1.0,
qkv,768->2304,2048,5,int8 AWQ GEMM,70.7,1.132,0.0122
qkv,768->2304,2048,5,int4 AWQ GEMM,46.7,1.714,0.2218
proj,768->768,2048,5,fp16 (real),25.9,1.0,
proj,768->768,2048,5,int8 AWQ GEMM,38.7,0.669,0.0117
proj,768->768,2048,5,int4 AWQ GEMM,25.7,1.006,0.2123
qkv,768->2304,512,1,fp16 (real),20.8,1.0,
qkv,768->2304,512,1,int8 AWQ GEMM,22.1,0.939,0.0113
qkv,768->2304,512,1,int4 AWQ GEMM,14.6,1.425,0.2063
proj,768->768,512,1,fp16 (real),18.5,1.0,
proj,768->768,512,1,int8 AWQ GEMM,21.9,0.847,0.0109
proj,768->768,512,1,int4 AWQ GEMM,14.4,1.287,0.1988
