kind,K,N,M,count,fp16_us,i8_gemm,i8_full,i4_gemm,i4_full
qkv,192,576,131072,5,432.0,327.7,474.0,316.4,764.3
proj,192,192,131072,5,193.0,144.1,285.2,127.3,574.2
qkv,384,1152,32768,5,422.0,242.0,298.7,158.7,216.2
proj,384,384,32768,5,134.9,90.1,159.3,64.6,121.5
qkv,384,1152,8192,5,92.8,66.3,85.0,45.5,62.1
proj,384,384,8192,5,58.2,31.3,52.1,23.4,40.1
qkv,768,2304,2048,5,82.0,59.8,68.9,36.9,45.2
proj,768,768,2048,5,26.4,27.5,37.2,15.9,25.2
qkv,768,2304,512,1,22.1,19.3,22.3,11.6,14.6
proj,768,768,512,1,20.8,18.6,21.8,11.2,14.3
