kernel,ms_step,pct,category
"void (anonymous namespace)::softmax_warp_forward<c10::Half, c10::Half, float, 10, false, f",39.3627,22.59,attention softmax
"void group_norm_silu_quantize_nhwc_kernel<__half>(__half const*, signed char*, __half cons",20.5399,11.79,GroupNorm
void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_32x32_32x1_nn_align8>(c,20.0162,11.49,attention QKᵀ/AV bmm (fp16)
void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_32x32_128x2_nn_align8>(,19.465,11.17,attention QKᵀ/AV bmm (fp16)
"void at::native::elementwise_kernel<128, 4, at::native::gpu_kernel_impl_nocast<at::native:",9.6155,5.52,elementwise/copy
_ZN7cutlass6KernelINS_4conv6kernel23ImplicitGemmConvolutionINS1_11threadblock22ImplicitGem,8.0217,4.6,conv (int GEMM)
"void at::native::elementwise_kernel<128, 4, at::native::gpu_kernel_impl_nocast<at::native:",6.9675,4.0,elementwise/copy
_ZN7cutlass6KernelINS_4conv6kernel23ImplicitGemmConvolutionINS1_11threadblock22ImplicitGem,5.7632,3.31,conv (int GEMM)
"gemm_w8a8_kernel_awq(signed char const*, signed char const*, float const*, float, __half*,",4.7409,2.72,qkv/proj int GEMM
"void at::native::elementwise_kernel<128, 4, at::native::gpu_kernel_impl_nocast<at::native:",3.8237,2.19,elementwise/copy
"void bias_residual_store_half_from_half_kernel<float>(__half const*, float const*, __half ",3.1048,1.78,elementwise/copy
_ZN7cutlass6KernelINS_4conv6kernel23ImplicitGemmConvolutionINS1_11threadblock22ImplicitGem,3.0359,1.74,conv (int GEMM)
_ZN7cutlass6KernelINS_4conv6kernel23ImplicitGemmConvolutionINS1_11threadblock22ImplicitGem,2.5536,1.47,conv (int GEMM)
"void at::native::(anonymous namespace)::upsample_nearest2d_nhwc_out_frame<float, &at::nati",2.4603,1.41,upsample/concat
"void (anonymous namespace)::softmax_warp_forward<c10::Half, c10::Half, float, 8, false, fa",2.4174,1.39,attention softmax
"quant_attn_out_int8_kernel(__half const*, signed char*, float, int, int, int, long)",2.3524,1.35,quantize/dequant
void at::native::(anonymous namespace)::CatArrayBatchedCopy_contig<at::native::(anonymous ,2.3332,1.34,upsample/concat
"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctor_add<c10::Half>, ",2.2321,1.28,elementwise/copy
_ZN7cutlass6KernelINS_4conv6kernel23ImplicitGemmConvolutionINS1_11threadblock22ImplicitGem,2.0683,1.19,conv (int GEMM)
ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_stages_32x1_nn,1.6598,0.95,other fp16 GEMM
ampere_fp16_s1688gemm_fp16_64x128_sliced1x2_ldg8_f2f_nn,1.6556,0.95,other fp16 GEMM
"void group_norm_silu_nhwc_kernel<__half>(__half const*, __half*, __half const*, __half con",1.6069,0.92,GroupNorm
void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::Tenso,1.1173,0.64,elementwise/copy
sm86_xmma_fprop_implicit_gemm_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize128x64x32_stage4_war,0.9461,0.54,conv (int GEMM)
"void at::native::(anonymous namespace)::avg_pool2d_out_cuda_frame_nhwc<c10::Half, float>(i",0.9012,0.52,other
void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::Tenso,0.6526,0.37,elementwise/copy
"scale_quantize_int8_kernel(float const*, signed char*, float const*, int)",0.5896,0.34,quantize/dequant
sm86_xmma_fprop_implicit_gemm_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize128x128x32_stage3_wa,0.5127,0.29,conv (int GEMM)
"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native:",0.4162,0.24,elementwise/copy
void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_32x32_64x1_nn_align8>(c,0.3772,0.22,attention QKᵀ/AV bmm (fp16)
"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native:",0.3572,0.2,GroupNorm
"void at::native::vectorized_elementwise_kernel<4, at::native::(anonymous namespace)::silu_",0.3558,0.2,elementwise/copy
sm80_xmma_fprop_implicit_gemm_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize128x32x32_stage4_war,0.2393,0.14,conv (int GEMM)
"void at::native::(anonymous namespace)::RowwiseMomentsCUDAKernel<float>(long, float, float",0.2338,0.13,other
sm80_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_,0.1587,0.09,other
ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_relu_f2f_stages_64x5_tn,0.1568,0.09,other fp16 GEMM
"void (anonymous namespace)::softmax_warp_forward<c10::Half, c10::Half, float, 6, false, fa",0.1559,0.09,attention softmax
"void scale_bias_store_half_kernel<float>(float const*, float const*, float const*, __half*",0.136,0.08,elementwise/copy
"void static_quantize_and_update_ahat_kernel_int8_half_cache<__half>(__half const*, __half*",0.1326,0.08,quantize/dequant
void cutlass__5x_cudnn::Kernel<cutlass_tensorop_f16_s16816fprop_optimized_f16_128x128_32x3,0.1199,0.07,conv (int GEMM)
sm80_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize96x128x32_stage4_warpsize2x2x1_tensor16x8x16,0.1165,0.07,other
"void at::native::vectorized_elementwise_kernel<4, at::native::(anonymous namespace)::silu_",0.1012,0.06,elementwise/copy
sm80_xmma_fprop_implicit_gemm_indexed_wo_smem_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize128x,0.0982,0.06,conv (int GEMM)
sm86_xmma_fprop_implicit_gemm_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize128x128x32_stage3_wa,0.0826,0.05,conv (int GEMM)
sm86_xmma_fprop_implicit_gemm_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize64x128x32_stage4_war,0.0749,0.04,conv (int GEMM)
void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_16x16_32x1_nn_align8>(c,0.0666,0.04,attention QKᵀ/AV bmm (fp16)
void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_16x16_64x1_nn_align8>(c,0.0639,0.04,attention QKᵀ/AV bmm (fp16)
ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_stages_32x6_tn,0.0631,0.04,other fp16 GEMM
ampere_fp16_s1688gemm_fp16_128x128_ldg8_f2f_stages_32x1_tn,0.0484,0.03,other fp16 GEMM
"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<c10::Half>, at::",0.0331,0.02,elementwise/copy
ampere_fp16_s16816gemm_fp16_256x128_ldg8_f2f_stages_32x3_tn,0.0226,0.01,other fp16 GEMM
"void at::native::elementwise_kernel<128, 4, at::native::gpu_kernel_impl<at::native::CUDAFu",0.0197,0.01,elementwise/copy
"void (anonymous namespace)::softmax_warp_forward<c10::Half, c10::Half, float, 4, false, fa",0.0185,0.01,attention softmax
void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_16x16_32x1_nn_align2>(c,0.0125,0.01,attention QKᵀ/AV bmm (fp16)
"void nhwcAddPaddingKernel<__half, __half, float, true, (cudnnKernelDataType_t)0>(int, int,",0.01,0.01,conv (int GEMM)
"void at::native::vectorized_elementwise_kernel<4, at::native::AUnaryFunctor<c10::Half, c10",0.0078,0.0,elementwise/copy
"void at::native::vectorized_elementwise_kernel<4, at::native::AUnaryFunctor<float, float, ",0.0063,0.0,elementwise/copy
Memcpy DtoH (Device -> Pinned),0.0061,0.0,other
void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_16x16_64x1_nn_align2>(c,0.0059,0.0,attention QKᵀ/AV bmm (fp16)
void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_32x32_128x2_tn_align8>(,0.0049,0.0,attention QKᵀ/AV bmm (fp16)
"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<long, at::native::func_wrapper",0.0037,0.0,other
"void at::native::(anonymous namespace)::ComputeFusedParamsCUDAKernel<float>(long, long, lo",0.0036,0.0,other
"void at::native::(anonymous namespace)::indexSelectLargeIndex<float, long, unsigned int, 2",0.0035,0.0,elementwise/copy
Memset (Device),0.0032,0.0,other
Memcpy DtoD (Device -> Device),0.0018,0.0,other
"void (anonymous namespace)::softmax_warp_forward<c10::Half, c10::Half, float, 2, false, fa",0.0017,0.0,attention softmax
"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<long>, at::detai",0.0016,0.0,elementwise/copy
Memcpy DtoH (Device -> Pageable),0.0004,0.0,other
"void at::native::(anonymous namespace)::distribution_elementwise_grid_stride_kernel<float,",0.0003,0.0,elementwise/copy
Memcpy HtoD (Pageable -> Device),0.0003,0.0,other
"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctorOnOther_add<float",0.0002,0.0,elementwise/copy
"void at::native::vectorized_elementwise_kernel<4, at::native::BinaryFunctor<float, float, ",0.0002,0.0,elementwise/copy
"void at::native::vectorized_elementwise_kernel<4, at::native::sqrt_kernel_cuda(at::TensorI",0.0001,0.0,elementwise/copy
"void at::native::vectorized_elementwise_kernel<4, at::native::BinaryFunctor<float, float, ",0.0001,0.0,elementwise/copy
