shape,M,K,N,count,prec,fp16out_us,i8out_us,speedup,roofline_fp16_us,roofline_i8_us,eff_i8_pct,rel_dequant
32²C192 qkv,65536,192,576,5,int8,185.87,174.87,1.063,138.78,78.52,44.9,0.01
32²C192 qkv,65536,192,576,5,int4,181.95,146.44,1.243,132.7,72.43,49.5,0.0099
32²C192 proj,65536,192,192,5,int8,88.21,80.33,1.098,66.36,42.25,52.6,0.01
32²C192 proj,65536,192,192,5,int4,80.62,65.33,1.234,60.31,36.2,55.4,0.0099
16²C384 qkv,16384,384,1152,5,int8,122.18,122.08,1.001,63.91,36.79,30.1,0.0093
16²C384 qkv,16384,384,1152,5,int4,83.21,82.07,1.014,59.07,31.96,38.9,0.0093
16²C384 proj,16384,384,384,5,int8,50.85,48.3,1.053,27.33,18.29,37.9,0.0095
16²C384 proj,16384,384,384,5,int4,37.23,35.63,1.045,22.7,13.67,38.4,0.0093
8²C384 qkv,4096,384,1152,5,int8,37.68,35.84,1.052,16.45,9.68,27.0,0.0086
8²C384 qkv,4096,384,1152,5,int4,27.87,25.27,1.103,15.01,8.23,32.6,0.0085
4²C768 qkv,1024,768,2304,5,int8,28.85,28.73,1.004,10.45,7.06,24.6,0.0079
4²C768 qkv,1024,768,2304,5,int4,17.01,18.08,0.941,8.62,5.23,28.9,0.0077
4²C768 proj,1024,768,768,5,int8,19.48,20.14,0.967,4.24,3.11,15.4,0.0079
4²C768 proj,1024,768,768,5,int4,12.15,12.83,0.947,3.25,2.12,16.5,0.0076
