shape,T,hd,count,op,prec,meas_us,compute_us,mem_us,roofline_us,bound,eff_pct
32² T1024 hd24,1024,24,5,QKᵀ,fp16,2060.19,172.14,1615.05,1615.05,memory,78.4
32² T1024 hd24,1024,24,5,softmax,fp16,3934.65,0.0,3085.47,3085.47,memory,78.4
32² T1024 hd24,1024,24,5,AV,fp16,1946.7,172.14,1615.05,1615.05,memory,83.0
32² T1024 hd24,1024,24,5,QKᵀ,int8,2706.57,86.1,1590.94,1590.94,memory,58.8
32² T1024 hd24,1024,24,5,softmax,int8,3546.62,0.0,2314.1,2314.1,memory,65.2
32² T1024 hd24,1024,24,5,AV,int8,1651.41,86.1,855.73,855.73,memory,51.8
32² T1024 hd24,1024,24,5,QKᵀ,int4,2772.5,43.04,1590.94,1590.94,memory,57.4
32² T1024 hd24,1024,24,5,softmax,int4,3549.81,0.0,1928.42,1928.42,memory,54.3
32² T1024 hd24,1024,24,5,AV,int4,934.56,43.04,445.95,445.95,memory,47.7
16² T256 hd48,256,48,5,QKᵀ,fp16,183.52,21.52,132.58,132.58,memory,72.2
16² T256 hd48,256,48,5,softmax,fp16,242.39,0.0,192.84,192.84,memory,79.6
16² T256 hd48,256,48,5,AV,fp16,168.97,21.52,132.58,132.58,memory,78.5
16² T256 hd48,256,48,5,QKᵀ,int8,193.68,10.76,120.53,120.53,memory,62.2
16² T256 hd48,256,48,5,softmax,int8,855.28,0.0,144.63,144.63,memory,16.9
16² T256 hd48,256,48,5,AV,int8,175.37,10.76,78.34,78.34,memory,44.7
16² T256 hd48,256,48,5,QKᵀ,int4,185.45,5.38,108.47,108.47,memory,58.5
16² T256 hd48,256,48,5,softmax,int4,857.03,0.0,120.53,120.53,memory,14.1
16² T256 hd48,256,48,5,AV,int4,122.47,5.38,48.21,48.21,memory,39.4
8² T64 hd48,64,48,5,QKᵀ,fp16,18.46,1.34,15.07,15.07,memory,81.6
8² T64 hd48,64,48,5,softmax,fp16,13.16,0.0,12.05,12.05,memory,91.6
8² T64 hd48,64,48,5,AV,fp16,20.56,1.34,15.07,15.07,memory,73.3
8² T64 hd48,64,48,5,QKᵀ,int8,19.74,0.67,12.05,12.05,memory,61.0
8² T64 hd48,64,48,5,softmax,int8,216.8,0.0,9.04,9.04,memory,4.2
8² T64 hd48,64,48,5,AV,int8,27.61,0.67,10.55,10.55,memory,38.2
8² T64 hd48,64,48,5,QKᵀ,int4,13.09,0.34,9.04,9.04,memory,69.0
8² T64 hd48,64,48,5,softmax,int4,213.89,0.0,7.53,7.53,memory,3.5
8² T64 hd48,64,48,5,AV,int4,21.16,0.34,7.53,7.53,memory,35.6
4² T16 hd96,16,96,5,QKᵀ,fp16,15.19,0.17,4.9,4.9,memory,32.2
4² T16 hd96,16,96,5,softmax,fp16,6.53,0.0,0.75,0.75,memory,11.5
4² T16 hd96,16,96,5,AV,fp16,12.54,0.17,4.9,4.9,memory,39.1
2² T4 hd96,4,96,1,QKᵀ,fp16,15.32,0.01,1.15,1.15,memory,7.5
2² T4 hd96,4,96,1,softmax,fp16,10.17,0.0,0.05,0.05,memory,0.5
2² T4 hd96,4,96,1,AV,fp16,12.77,0.01,1.15,1.15,memory,9.0
