shape,M,K,N,count,prec,meas_us,compute_us,mem_us,roofline_us,bound,eff_pct
32² C192 qkv,65536,192,576,5,fp16,206.08,96.83,144.95,144.95,memory,70.3
32² C192 qkv,65536,192,576,5,int8,186.27,48.43,126.71,126.71,memory,68.0
32² C192 qkv,65536,192,576,5,int4,181.47,24.21,117.59,117.59,memory,64.8
32² C192 proj,65536,192,192,5,fp16,105.02,32.28,72.42,72.42,memory,69.0
32² C192 proj,65536,192,192,5,int8,88.47,16.14,54.29,54.29,memory,61.4
32² C192 proj,65536,192,192,5,int4,80.65,8.07,45.22,45.22,memory,56.1
16² C384 qkv,16384,384,1152,5,fp16,203.73,96.83,73.59,96.83,compute,47.5
16² C384 qkv,16384,384,1152,5,int8,124.33,48.43,63.91,63.91,memory,51.4
16² C384 qkv,16384,384,1152,5,int4,83.68,24.21,59.07,59.07,memory,70.6
16² C384 proj,16384,384,384,5,fp16,67.1,32.28,36.58,36.58,memory,54.5
16² C384 proj,16384,384,384,5,int8,52.71,16.14,27.33,27.33,memory,51.8
16² C384 proj,16384,384,384,5,int4,37.47,8.07,22.7,22.7,memory,60.6
8² C384 qkv,4096,384,1152,5,fp16,52.7,24.21,19.35,24.21,compute,45.9
8² C384 qkv,4096,384,1152,5,int8,37.53,12.11,16.45,16.45,memory,43.8
8² C384 qkv,4096,384,1152,5,int4,27.86,6.05,15.01,15.01,memory,53.9
8² C384 proj,4096,384,384,5,fp16,22.81,8.07,9.46,9.46,memory,41.5
8² C384 proj,4096,384,384,5,int8,15.75,4.04,6.99,6.99,memory,44.4
8² C384 proj,4096,384,384,5,int4,11.51,2.02,5.76,5.76,memory,50.0
4² C768 qkv,1024,768,2304,5,fp16,50.62,24.21,14.12,24.21,compute,47.8
4² C768 qkv,1024,768,2304,5,int8,30.8,12.11,10.45,12.11,compute,39.3
4² C768 qkv,1024,768,2304,5,int4,18.18,6.05,8.62,8.62,memory,47.4
4² C768 proj,1024,768,768,5,fp16,18.39,8.07,6.21,8.07,compute,43.9
4² C768 proj,1024,768,768,5,int8,20.04,4.04,4.24,4.24,memory,21.1
4² C768 proj,1024,768,768,5,int4,12.31,2.02,3.25,3.25,memory,26.4
