M,K,N,count,cls,fp16_us,i8_quant_us,i8_gemm_us,i8_total_us,i4_quant_us,i4_gemm_us,i4_total_us
16384,192,576,5,large-M (qkv/proj),59.826,19.851,54.488,74.339,20.055,50.299,70.354
16384,192,192,5,large-M (qkv/proj),31.602,19.647,27.631,47.278,20.098,23.118,43.216
4096,384,1152,5,large-M (qkv/proj),53.374,6.962,37.375,44.337,6.154,27.858,34.012
4096,384,384,5,large-M (qkv/proj),23.123,6.932,15.776,22.708,6.049,11.609,17.657
1024,384,1152,5,large-M (qkv/proj),14.9,5.289,12.4,17.689,5.258,8.753,14.011
1024,384,384,5,large-M (qkv/proj),14.932,5.433,11.424,16.857,5.153,7.788,12.941
256,768,2304,5,large-M (qkv/proj),14.804,5.308,18.823,24.131,6.965,11.524,18.49
256,768,768,5,large-M (qkv/proj),13.928,5.346,18.784,24.13,5.26,11.43,16.69
64,768,2304,1,large-M (qkv/proj),14.145,5.228,17.594,22.821,5.177,10.282,15.458
64,768,768,1,large-M (qkv/proj),31.395,5.372,17.721,23.092,5.232,10.185,15.418
