BH,T,kernel,us,MiB,GBps,pct_peak
256,1024,score *scale (fp16 EW),1880.7,1024.0,571.0,82.0
256,1024,softmax int8 static,1373.4,768.0,586.0,84.0
256,1024,softmax int8 dynamic,1775.2,768.0,454.0,65.0
256,1024,softmax fp16 dynamic,1857.0,1024.0,578.0,83.0
256,1024,QKᵀ int8 (write S),1352.3,528.0,409.0,59.0
256,1024,AV int8 (read P),823.0,304.0,387.0,56.0
256,256,score *scale (fp16 EW),120.4,64.0,557.0,80.0
256,256,softmax int8 static,238.5,48.0,211.0,30.0
256,256,softmax int8 dynamic,437.7,48.0,115.0,17.0
256,256,softmax fp16 dynamic,430.9,64.0,156.0,22.0
256,256,QKᵀ int8 (write S),91.7,36.0,412.0,59.0
256,256,AV int8 (read P),92.9,28.0,316.0,45.0
256,64,score *scale (fp16 EW),8.7,4.0,484.0,70.0
256,64,softmax int8 static,57.4,3.0,55.0,8.0
256,64,softmax int8 dynamic,109.1,3.0,29.0,4.0
256,64,softmax fp16 dynamic,108.5,4.0,39.0,6.0
256,64,QKᵀ int8 (write S),7.7,3.0,408.0,59.0
256,64,AV int8 (read P),12.6,4.0,332.0,48.0
