shape,kind,M,fp16_split_us,int8_split_us,awq_split_us,int8_vs_fp16,awq_vs_fp16,int8_rel_err,awq_rel_err
qkv  C192 T1024 (level0),attn,32768,376.5,452.3,381.2,0.832,0.988,0.0123,0.0123
proj C192 T1024 (level0),attn,32768,232.2,237.1,228.4,0.979,1.017,0.0123,0.0123
qkv  C384 T256  (level1),attn,8192,247.3,233.2,212.7,1.06,1.163,0.0124,0.0124
proj C384 T256  (level1),attn,8192,137.2,132.2,132.9,1.038,1.032,0.0124,0.0124
qkv  C384 T64   (level2),attn,2048,88.4,87.2,80.8,1.013,1.094,0.0125,0.0125
proj C384 T64   (level2),attn,2048,61.1,58.6,58.0,1.042,1.053,0.0125,0.0125
qkv  C768 T16   (level3),attn,512,43.2,45.7,39.5,0.947,1.095,0.0126,0.0126
proj C768 T16   (level3),attn,512,43.6,35.0,51.0,1.245,0.855,0.0126,0.0126
qkv  C768 T4    (middle),attn,128,43.2,33.6,30.5,1.288,1.418,0.0108,0.0108
proj C768 T4    (middle),attn,128,51.3,42.7,37.1,1.2,1.381,0.0108,0.0108
time_embed[0],temb,32,32.8,25.3,22.4,1.294,1.465,0.0087,0.0087
time_embed[2],temb,32,31.1,25.3,22.1,1.228,1.405,0.0104,0.0104
emb_layers Cch192,temb,32,33.8,33.0,22.1,1.025,1.526,0.0105,0.0105
emb_layers Cch384,temb,32,31.0,25.3,22.2,1.225,1.395,0.0104,0.0104
emb_layers Cch768,temb,32,47.8,25.3,22.3,1.887,2.144,0.0104,0.0104
