shape,Cin,Cout,HW,fp16_us,fp16_vs_fp16,int8_baseline_us,int8_baseline_vs_fp16,int4_baseline_us,int4_baseline_vs_fp16,int8_modiff_us,int8_modiff_vs_fp16,int4_modiff_us,int4_modiff_vs_fp16,fp16_tops
res_128_64,128,128,64,1849.4,1.0,1200.6,1.54,651.8,2.837,1721.0,1.075,1303.3,1.419,83.6
res_128_32,128,128,32,481.5,1.0,314.5,1.531,177.1,2.719,452.5,1.064,338.5,1.422,80.3
down_128_256_32,128,256,32,924.5,1.0,536.0,1.725,274.7,3.365,668.5,1.383,473.7,1.952,83.6
res_256_32,256,256,32,1594.6,1.0,933.8,1.708,510.4,3.124,1141.7,1.397,721.6,2.21,97.0
res_256_16,256,256,16,432.7,1.0,255.0,1.697,147.9,2.926,315.4,1.372,202.8,2.134,89.3
down_256_512_16,256,512,16,792.5,1.0,442.1,1.793,238.4,3.324,489.6,1.619,284.9,2.782,97.5
mid_512_8,512,512,8,419.8,1.0,233.5,1.798,124.4,3.374,263.3,1.595,154.8,2.712,92.1
up_512_256_16,512,256,16,765.0,1.0,463.9,1.649,261.9,2.921,565.3,1.353,376.0,2.035,101.1
up_256_128_32,256,128,32,855.3,1.0,564.5,1.515,333.5,2.564,795.7,1.075,560.9,1.525,90.4
up_128_64,128,128,64,1872.5,1.0,1212.1,1.545,659.6,2.839,1722.0,1.087,1302.9,1.437,82.6
