Conv kernel speed @ b128 (us, median 5x200)

shape                        fp16  int8_baseline  int4_baseline    int8_modiff    int4_modiff
res_128_64                 1849.4         1200.6          651.8         1721.0         1303.3
res_128_32                  481.5          314.5          177.1          452.5          338.5
down_128_256_32             924.5          536.0          274.7          668.5          473.7
res_256_32                 1594.6          933.8          510.4         1141.7          721.6
res_256_16                  432.7          255.0          147.9          315.4          202.8
down_256_512_16             792.5          442.1          238.4          489.6          284.9
mid_512_8                   419.8          233.5          124.4          263.3          154.8
up_512_256_16               765.0          463.9          261.9          565.3          376.0
up_256_128_32               855.3          564.5          333.5          795.7          560.9
up_128_64                  1872.5         1212.1          659.6         1722.0         1302.9

WROTE docs/report_2026-08-04/data/conv_kernel_speed.csv
