shape,M,N,K,method,median_ms,mean_ms,min_ms,max_ms,tops,max_abs_err_vs_ours_fused
linear_4096,1024,4096,4096,ours_triton_fused_quant_gemm,0.8072320222854614,0.8089199960231781,0.8025919795036316,0.8227519989013672,42.56488521196123,0.0
linear_4096,1024,4096,4096,ours_triton_gemm_only_scalar_quant,0.37747201323509216,0.3780160009860992,0.37404799461364746,0.3879680037498474,91.0259228850445,0.07831627130508423
linear_4096,1024,4096,4096,awq_raw_quant_plus_gemm,0.3101760149002075,0.31201439946889875,0.3073599934577942,0.3249279856681824,110.77496878362598,0.015869140625
linear_4096,1024,4096,4096,awq_integrated_safe_quant_plus_gemm,0.3105280101299286,0.3224528029561043,0.3075839877128601,0.516480028629303,110.64940117196988,0.015869140625
linear_4096,1024,4096,4096,awq_gemm_only_awq_quant,0.25388801097869873,0.2545535996556282,0.25222399830818176,0.25887998938560486,135.3342295902377,0.015869140625
linear_4096,1024,4096,4096,awq_gemm_only_scalar_quant,0.273824006319046,0.2743327960371971,0.2720319926738739,0.2819199860095978,125.48110309935994,0.078125
linear_4096,1024,4096,4096,awq_integrated_safe_gemm_only_scalar,0.274399995803833,0.2746880009770393,0.27190399169921875,0.2802880108356476,125.21770733758896,0.078125
linear_2048,2048,2048,2048,ours_triton_fused_quant_gemm,0.4152640104293823,0.41584479808807373,0.4126720130443573,0.4219520092010498,41.37095619299164,0.0
linear_2048,2048,2048,2048,ours_triton_gemm_only_scalar_quant,0.25068798661231995,0.25269279852509496,0.2457599937915802,0.27369600534439087,68.53088341472086,0.07914972305297852
linear_2048,2048,2048,2048,awq_raw_quant_plus_gemm,0.2295359969139099,0.2328175999224186,0.22784000635147095,0.26662400364875793,74.84607824037074,0.017578125
linear_2048,2048,2048,2048,awq_integrated_safe_quant_plus_gemm,0.2290239930152893,0.22918239906430243,0.22697600722312927,0.23350399732589722,75.0134034334695,0.017578125
linear_2048,2048,2048,2048,awq_gemm_only_awq_quant,0.16300800442695618,0.16356640085577964,0.16019199788570404,0.17123199999332428,105.39279493908712,0.017578125
linear_2048,2048,2048,2048,awq_gemm_only_scalar_quant,0.18326400220394135,0.18387359976768494,0.18192000687122345,0.19036799669265747,93.74382845181869,0.0791015625
linear_2048,2048,2048,2048,awq_integrated_safe_gemm_only_scalar,0.1833599954843521,0.1857071988284588,0.18192000687122345,0.22217600047588348,93.6947513475813,0.0791015625
