shape,M,N,K,method,median_ms,mean_ms,min_ms,max_ms,tops,max_abs_err_vs_ours_fused
linear_4096,1024,4096,4096,ours_triton_fused_quant_gemm,0.7319679856300354,0.7368812799453736,0.7285119891166687,0.9829440116882324,46.9415863023369,0.0
linear_4096,1024,4096,4096,ours_triton_gemm_only_scalar_quant,0.2985920011997223,0.30034623920917514,0.2967680096626282,0.38944000005722046,115.07253452853696,0.07831627130508423
linear_4096,1024,4096,4096,awq_raw_quant_plus_gemm,0.2549760043621063,0.25660735845565796,0.25388801097869873,0.33420801162719727,134.75675271467398,0.015869140625
linear_4096,1024,4096,4096,awq_integrated_safe_quant_plus_gemm,0.25494399666786194,0.25593280017375947,0.2539519965648651,0.3001919984817505,134.7736711477206,0.015869140625
linear_4096,1024,4096,4096,awq_gemm_only_awq_quant,0.2210880070924759,0.221394559442997,0.21475200355052948,0.28358399868011475,155.41204075184473,0.015869140625
linear_4096,1024,4096,4096,awq_gemm_only_scalar_quant,0.22486400604248047,0.22605439990758897,0.22288000583648682,0.2905920147895813,152.80230470282063,0.078125
linear_4096,1024,4096,4096,awq_integrated_safe_gemm_only_scalar,0.22592000663280487,0.22716095834970473,0.2248000055551529,0.29311999678611755,152.08807258865744,0.078125
linear_2048,2048,2048,2048,ours_triton_fused_quant_gemm,0.3571839928627014,0.358461440205574,0.3548800051212311,0.4164479970932007,48.09809377601028,0.0
linear_2048,2048,2048,2048,ours_triton_gemm_only_scalar_quant,0.16966399550437927,0.1723436799645424,0.16735999286174774,0.31065601110458374,101.25819053669854,0.07914972305297852
linear_2048,2048,2048,2048,awq_raw_quant_plus_gemm,0.17446400225162506,0.17499071925878526,0.17343999445438385,0.20156799256801605,98.47228633000122,0.017578125
linear_2048,2048,2048,2048,awq_integrated_safe_quant_plus_gemm,0.17440000176429749,0.1756435191631317,0.1730239987373352,0.24208000302314758,98.5084232236344,0.017578125
linear_2048,2048,2048,2048,awq_gemm_only_awq_quant,0.12627199292182922,0.12890048027038575,0.12451200187206268,0.2603839933872223,136.05447088045474,0.017578125
linear_2048,2048,2048,2048,awq_gemm_only_scalar_quant,0.1287360042333603,0.12955711930990219,0.1276160031557083,0.1674560010433197,133.45038387907383,0.0791015625
linear_2048,2048,2048,2048,awq_integrated_safe_gemm_only_scalar,0.12905600666999817,0.13031232059001924,0.12780800461769104,0.19193600118160248,133.11948530942598,0.0791015625
ldm_attn_proj,5376,512,512,ours_triton_fused_quant_gemm,0.0772159993648529,0.07884479984641075,0.07465600222349167,0.1228799968957901,36.50243875860467,0.0
ldm_attn_proj,5376,512,512,ours_triton_gemm_only_scalar_quant,0.0791039988398552,0.0804550401866436,0.0764480009675026,0.10982400178909302,35.6312238235409,0.07104602456092834
ldm_attn_proj,5376,512,512,awq_raw_quant_plus_gemm,0.07654400169849396,0.07671872019767761,0.0753600001335144,0.08972799777984619,36.82290219294162,0.016693115234375
ldm_attn_proj,5376,512,512,awq_integrated_safe_quant_plus_gemm,0.07651200145483017,0.07676927968859673,0.07539200037717819,0.08953599631786346,36.8383029381865,0.016693115234375
